ip,timestamp,url,protocol,status,bytes,referrer,user_agent,hour,day_of_week,minute,url_path_depth,protocol_HTTP/1.0,protocol_HTTP/1.1,status_type,status_client_error,status_server_error,status_success,method_GET,method_HEAD,method_OPTIONS,method_POST,has_referrer,is_bot,browser_chrome,browser_firefox,browser_other,browser_safari,browser_wordpress
178.215.238.68,2024-10-19 00:03:17,/login.rsp,HTTP/1.1,404,453,-,hello world,0,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
167.99.55.110,2024-10-19 00:13:56,/wp-cron.php?doing_wp_cron=1729469636.1745829582214355468750,HTTP/1.1,200,259,-,wordpress/6.6.1; http://blog.thx.bz,0,5,13,1,False,True,success,False,False,True,False,False,False,True,0,0,False,False,False,False,True
143.110.222.166,2024-10-19 00:13:55,/,HTTP/1.1,200,15340,-,"mozilla/5.0 (iphone; cpu iphone os 16_1 like mac os x) applewebkit/605.1.15 (khtml, like gecko) version/16.1 mobile/15e148 safari/604.1",0,5,13,1,False,True,success,False,False,True,True,False,False,False,0,0,False,False,False,True,False
162.158.154.86,2024-10-19 01:03:12,/wp-includes/certificates/plugins.php,HTTP/1.1,404,490,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:12,/wp-admin/user/plugins.php,HTTP/1.1,404,490,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:12,/.well-known/acme-challenge/plugins.php,HTTP/1.1,404,490,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:12,/wp-includes/customize/plugins.php,HTTP/1.1,404,490,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:12,/wp-includes/SimplePie/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.154.86,2024-10-19 01:03:12,/wp-admin/css/colors/blue/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,5,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-19 01:03:12,/wp-content/themes/plugins.php,HTTP/1.1,404,490,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:12,/wp-includes/ID3/plugins.php,HTTP/1.1,404,490,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:13,/wp-admin/css/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:13,/wp-admin/includes/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:13,/wp-admin/network/plugins.php,HTTP/1.1,302,457,-,-,1,5,3,3,False,True,server_error,False,True,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:13,/wp-admin/images/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.154.86,2024-10-19 01:03:13,/wp-admin/maint/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:13,/wp-content/upgrade/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-19 01:03:13,/images/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:14,/css/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:14,/wp-includes/fonts/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:14,/wp-includes/pomo/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:14,/.tmb/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.154.86,2024-10-19 01:03:14,/wp-includes/IXR/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:14,/.well-known/pki-validation/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:14,/cgi-bin/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:14,/wp-includes/random_compat/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:14,/wp-content/languages/plugins.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.154.86,2024-10-19 01:03:14,/index.php,HTTP/1.1,301,283,-,-,1,5,3,1,False,True,server_error,False,True,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:15,/,HTTP/1.1,200,15399,-,-,1,5,3,1,False,True,success,False,False,True,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:15,/cgi-bin/xmrlpc.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
